ea_year,lea_code,lea_name,school_code,school_name,grade,new_lea_code,new_lea_name,new_school_code,new_school_name,new_grade,count
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,KG,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,1,49
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,1,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,1,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,1,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,2,33
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,2,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,2,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,2,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,3,57
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,3,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,3,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,3,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,4,32
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,4,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,4,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,5,32
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,5,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,5,,Other Outcome,,Other Outcome,,26
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,5,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,427,SOUSA MS,6,11
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,PS,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,PS,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,PK,33
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,PK,,Out of District,,Out of District,,10
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,PK,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,PK,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,KG,33
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,KG,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,KG,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,1,48
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,1,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,1,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,1,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,2,39
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,2,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,2,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,3,37
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,3,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,3,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,3,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,4,39
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,4,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,4,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,4,168,BASIS DC PCS,3068,BASIS DC PCS,5,15
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,4,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,5,12
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,4,151,WASHINGTON LATIN PCS,125,WASHINGTON LATIN PCS MS,5,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,5,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,212,BRENT ES,5,168,BASIS DC PCS,3068,BASIS DC PCS,6,13
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,PS,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,PS,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD EC,PK,27
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,PK,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,PK,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,PK,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD EC,KG,44
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,KG,,Other Outcome,,Other Outcome,,11
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,KG,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD EC,1,43
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,1,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,1,,Other Outcome,,Other Outcome,,10
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,1,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD EC,2,35
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,2,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,2,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,2,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD EC,3,41
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,3,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,3,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,3,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD EC,4,46
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,4,,Out of District,,Out of District,,10
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,4,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,4,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD EC,5,30
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,5,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,5,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,5,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD EC,6,45
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,6,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,6,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD EC,7,34
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,7,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,7,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,7,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD EC,8,34
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,8,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,8,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,8,108,CAPITAL CITY PCS,1207,CAPITAL CITY HIGH SCHOOL,9,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,8,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,442,COLUMBIA HEIGHTS EC,9,25
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,213,BRIGHTWOOD ES,8,138,PAUL PCS,170,PAUL JHS PCS,9,10
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,PS,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,PS,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,PK,18
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,PK,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,PK,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,PK,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,KG,18
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,KG,,Other Outcome,,Other Outcome,,10
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,KG,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,1,21
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,1,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,1,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,2,28
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,2,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,2,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,3,20
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,3,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,3,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,4,16
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,4,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,4,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,5,28
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,5,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,5,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,5,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,6,19
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,6,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,6,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,7,28
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,7,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,7,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,220,BURROUGHS EC,8,17
